"","Survived","Pclass","Sex","SibSp","Parch","Fare","Embarked","segment_edat"
"97","0","1","male","0","0",34.6542,"C",">70"
"98","1","1","male","0","1",63.3583,"C","20-29"
"99","1","2","female","0","1",23,"S","30-39"
"100","0","2","male","1","0",26,"S","30-39"
"101","0","3","female","0","0",7.8958,"S","20-29"
"102","0","3","male","0","0",7.8958,"S","20-29"
"103","0","1","male","0","1",77.2875,"S","20-29"
"104","0","3","male","0","0",8.6542,"S","30-39"
"105","0","3","male","2","0",7.925,"S","30-39"
"106","0","3","male","0","0",7.8958,"S","20-29"
"107","1","3","female","0","0",7.65,"S","20-29"
"108","1","3","male","0","0",7.775,"S","20-29"
"109","0","3","male","0","0",7.8958,"S","30-39"
"110","1","3","female","1","0",24.15,"Q","20-29"
"111","0","1","male","0","0",52,"S","40-49"
"112","0","3","female","1","0",14.4542,"C","10-19"
"113","0","3","male","0","0",8.05,"S","20-29"
"114","0","3","female","1","0",9.825,"S","10-19"
"115","0","3","female","0","0",14.4583,"C","10-19"
"116","0","3","male","0","0",7.925,"S","20-29"
"117","0","3","male","0","0",7.75,"Q",">70"
"118","0","2","male","1","0",21,"S","20-29"
"119","0","1","male","0","1",247.5208,"C","20-29"
"120","0","3","female","4","2",31.275,"S","0-9"
"121","0","2","male","2","0",73.5,"S","20-29"
"122","0","3","male","0","0",8.05,"S","20-29"
"123","0","2","male","1","0",30.0708,"C","30-39"
"124","1","2","female","0","0",13,"S","30-39"
"125","0","1","male","0","1",77.2875,"S","50-59"
"126","1","3","male","1","0",11.2417,"C","10-19"
"127","0","3","male","0","0",7.75,"Q","20-29"
"128","1","3","male","0","0",7.1417,"S","20-29"
"129","1","3","female","1","1",22.3583,"C","20-29"
"130","0","3","male","0","0",6.975,"S","40-49"
"131","0","3","male","0","0",7.8958,"C","30-39"
"132","0","3","male","0","0",7.05,"S","10-19"
"133","0","3","female","1","0",14.5,"S","40-49"
"134","1","2","female","1","0",26,"S","20-29"
"135","0","2","male","0","0",13,"S","20-29"
"136","0","2","male","0","0",15.0458,"C","20-29"
"137","1","1","female","0","2",26.2833,"S","10-19"
"138","0","1","male","1","0",53.1,"S","30-39"
"139","0","3","male","0","0",9.2167,"S","10-19"
"140","0","1","male","0","0",79.2,"C","20-29"
"141","0","3","female","0","2",15.2458,"C","20-29"
"142","1","3","female","0","0",7.75,"S","20-29"
"143","1","3","female","1","0",15.85,"S","20-29"
"144","0","3","male","0","0",6.75,"Q","10-19"
"145","0","2","male","0","0",11.5,"S","10-19"
"146","0","2","male","1","1",36.75,"S","10-19"
"147","1","3","male","0","0",7.7958,"S","20-29"
"148","0","3","female","2","2",34.375,"S","0-9"
"149","0","2","male","0","2",26,"S","30-39"
"150","0","2","male","0","0",13,"S","40-49"
"151","0","2","male","0","0",12.525,"S","50-59"
"152","1","1","female","1","0",66.6,"S","20-29"
"153","0","3","male","0","0",8.05,"S","50-59"
"154","0","3","male","0","2",14.5,"S","40-49"
"155","0","3","male","0","0",7.3125,"S","20-29"
"156","0","1","male","0","1",61.3792,"C","50-59"
"157","1","3","female","0","0",7.7333,"Q","10-19"
"158","0","3","male","0","0",8.05,"S","20-29"
"159","0","3","male","0","0",8.6625,"S","20-29"
"160","0","3","male","8","2",69.55,"S","20-29"
"161","0","3","male","0","1",16.1,"S","40-49"
"162","1","2","female","0","0",15.75,"S","30-39"
"163","0","3","male","0","0",7.775,"S","20-29"
"164","0","3","male","0","0",8.6625,"S","10-19"
"165","0","3","male","4","1",39.6875,"S","0-9"
"166","1","3","male","0","2",20.525,"S","0-9"
"167","1","1","female","0","1",55,"S","20-29"
"168","0","3","female","1","4",27.9,"S","40-49"
"169","0","1","male","0","0",25.925,"S","20-29"
"170","0","3","male","0","0",56.4958,"S","20-29"
"171","0","1","male","0","0",33.5,"S","60-69"
"172","0","3","male","4","1",29.125,"Q","0-9"
"173","1","3","female","1","1",11.1333,"S","0-9"
"174","0","3","male","0","0",7.925,"S","20-29"
"175","0","1","male","0","0",30.6958,"C","50-59"
"176","0","3","male","1","1",7.8542,"S","10-19"
"177","0","3","male","3","1",25.4667,"S","20-29"
"178","0","1","female","0","0",28.7125,"C","40-49"
"179","0","2","male","0","0",13,"S","20-29"
"180","0","3","male","0","0",0,"S","30-39"
"181","0","3","female","8","2",69.55,"S","20-29"
"182","0","2","male","0","0",15.05,"C","20-29"
"183","0","3","male","4","2",31.3875,"S","0-9"
"184","1","2","male","2","1",39,"S","0-9"
"185","1","3","female","0","2",22.025,"S","0-9"
"186","0","1","male","0","0",50,"S","20-29"
"187","1","3","female","1","0",15.5,"Q","20-29"
"188","1","1","male","0","0",26.55,"S","40-49"
"189","0","3","male","1","1",15.5,"Q","30-39"
"190","0","3","male","0","0",7.8958,"S","30-39"
"191","1","2","female","0","0",13,"S","30-39"
"192","0","2","male","0","0",13,"S","10-19"
"193","1","3","female","1","0",7.8542,"S","10-19"
"194","1","2","male","1","1",26,"S","0-9"
"195","1","1","female","0","0",27.7208,"C","40-49"
"196","1","1","female","0","0",146.5208,"C","50-59"
"197","0","3","male","0","0",7.75,"Q","20-29"
"198","0","3","male","0","1",8.4042,"S","40-49"
"199","1","3","female","0","0",7.75,"Q","20-29"
"200","0","2","female","0","0",13,"S","20-29"
"201","0","3","male","0","0",9.5,"S","20-29"
"202","0","3","male","8","2",69.55,"S","20-29"
"203","0","3","male","0","0",6.4958,"S","30-39"
"204","0","3","male","0","0",7.225,"C","40-49"
"205","1","3","male","0","0",8.05,"S","10-19"
"206","0","3","female","0","1",10.4625,"S","0-9"
"207","0","3","male","1","0",15.85,"S","30-39"
"208","1","3","male","0","0",18.7875,"C","20-29"
"209","1","3","female","0","0",7.75,"Q","10-19"
"210","1","1","male","0","0",31,"C","30-39"
"211","0","3","male","0","0",7.05,"S","20-29"
"212","1","2","female","0","0",21,"S","30-39"
"213","0","3","male","0","0",7.25,"S","20-29"
"214","0","2","male","0","0",13,"S","20-29"
"215","0","3","male","1","0",7.75,"Q","20-29"
"216","1","1","female","1","0",113.275,"C","30-39"
"217","1","3","female","0","0",7.925,"S","20-29"
"218","0","2","male","1","0",27,"S","40-49"
"219","1","1","female","0","0",76.2917,"C","30-39"
"220","0","2","male","0","0",10.5,"S","20-29"
"221","1","3","male","0","0",8.05,"S","10-19"
"222","0","2","male","0","0",13,"S","20-29"
"223","0","3","male","0","0",8.05,"S","50-59"
"224","0","3","male","0","0",7.8958,"S","20-29"
"225","1","1","male","1","0",90,"S","30-39"
"226","0","3","male","0","0",9.35,"S","20-29"
"227","1","2","male","0","0",10.5,"S","10-19"
"228","0","3","male","0","0",7.25,"S","20-29"
"229","0","2","male","0","0",13,"S","10-19"
"230","0","3","female","3","1",25.4667,"S","20-29"
"231","1","1","female","1","0",83.475,"S","30-39"
"232","0","3","male","0","0",7.775,"S","20-29"
"233","0","2","male","0","0",13.5,"S","50-59"
"234","1","3","female","4","2",31.3875,"S","0-9"
"235","0","2","male","0","0",10.5,"S","20-29"
"236","0","3","female","0","0",7.55,"S","20-29"
"237","0","2","male","1","0",26,"S","40-49"
"238","1","2","female","0","2",26.25,"S","0-9"
"239","0","2","male","0","0",10.5,"S","10-19"
"240","0","2","male","0","0",12.275,"S","30-39"
"241","0","3","female","1","0",14.4542,"C","20-29"
"242","1","3","female","1","0",15.5,"Q","20-29"
"243","0","2","male","0","0",10.5,"S","20-29"
"244","0","3","male","0","0",7.125,"S","20-29"
"245","0","3","male","0","0",7.225,"C","20-29"
"246","0","1","male","2","0",90,"Q","40-49"
"247","0","3","female","0","0",7.775,"S","20-29"
"248","1","2","female","0","2",14.5,"S","20-29"
"249","1","1","male","1","1",52.5542,"S","30-39"
"250","0","2","male","1","0",26,"S","50-59"
"251","0","3","male","0","0",7.25,"S","20-29"
"252","0","3","female","1","1",10.4625,"S","20-29"
"253","0","1","male","0","0",26.55,"S","60-69"
"254","0","3","male","1","0",16.1,"S","20-29"
"255","0","3","female","0","2",20.2125,"S","40-49"
"256","1","3","female","0","2",15.2458,"C","20-29"
"257","1","1","female","0","0",79.2,"C","20-29"
"258","1","1","female","0","0",86.5,"S","20-29"
"259","1","1","female","0","0",512.3292,"C","30-39"
"260","1","2","female","0","1",26,"S","40-49"
"261","0","3","male","0","0",7.75,"Q","20-29"
"262","1","3","male","4","2",31.3875,"S","0-9"
"263","0","1","male","1","1",79.65,"S","50-59"
"264","0","1","male","0","0",0,"S","30-39"
"265","0","3","female","0","0",7.75,"Q","20-29"
"266","0","2","male","0","0",10.5,"S","30-39"
"267","0","3","male","4","1",39.6875,"S","10-19"
"268","1","3","male","1","0",7.775,"S","20-29"
"269","1","1","female","0","1",153.4625,"S","50-59"
"270","1","1","female","0","0",135.6333,"S","30-39"
"271","0","1","male","0","0",31,"S","20-29"
"272","1","3","male","0","0",0,"S","20-29"
"273","1","2","female","0","1",19.5,"S","40-49"
"274","0","1","male","0","1",29.7,"C","30-39"
"275","1","3","female","0","0",7.75,"Q","20-29"
"276","1","1","female","1","0",77.9583,"S","60-69"
"277","0","3","female","0","0",7.75,"S","40-49"
"278","0","2","male","0","0",0,"S","20-29"
"279","0","3","male","4","1",29.125,"Q","0-9"
"280","1","3","female","1","1",20.25,"S","30-39"
"281","0","3","male","0","0",7.75,"Q","60-69"
"282","0","3","male","0","0",7.8542,"S","20-29"
"283","0","3","male","0","0",9.5,"S","10-19"
"284","1","3","male","0","0",8.05,"S","10-19"
"285","0","1","male","0","0",26,"S","20-29"
"286","0","3","male","0","0",8.6625,"C","30-39"
"287","1","3","male","0","0",9.5,"S","20-29"
"288","0","3","male","0","0",7.8958,"S","20-29"
"289","1","2","male","0","0",13,"S","40-49"
"290","1","3","female","0","0",7.75,"Q","20-29"
"291","1","1","female","0","0",78.85,"S","20-29"
"292","1","1","female","1","0",91.0792,"C","10-19"
"293","0","2","male","0","0",12.875,"C","30-39"
"294","0","3","female","0","0",8.85,"S","20-29"
"295","0","3","male","0","0",7.8958,"S","20-29"
"296","0","1","male","0","0",27.7208,"C","20-29"
"297","0","3","male","0","0",7.2292,"C","20-29"
"298","0","1","female","1","2",151.55,"S","0-9"
"299","1","1","male","0","0",30.5,"S","20-29"
"300","1","1","female","0","1",247.5208,"C","40-49"
"301","1","3","female","0","0",7.75,"Q","20-29"
"302","1","3","male","2","0",23.25,"Q","20-29"
"303","0","3","male","0","0",0,"S","10-19"
"304","1","2","female","0","0",12.35,"Q","20-29"
"305","0","3","male","0","0",8.05,"S","20-29"
"306","1","1","male","1","2",151.55,"S","0-9"
"307","1","1","female","0","0",110.8833,"C","20-29"
"308","1","1","female","1","0",108.9,"C","10-19"
"309","0","2","male","1","0",24,"C","20-29"
"310","1","1","female","0","0",56.9292,"C","20-29"
"311","1","1","female","0","0",83.1583,"C","20-29"
"312","1","1","female","2","2",262.375,"C","10-19"
"313","0","2","female","1","1",26,"S","20-29"
"314","0","3","male","0","0",7.8958,"S","20-29"
"315","0","2","male","1","1",26.25,"S","40-49"
"316","1","3","female","0","0",7.8542,"S","20-29"
"317","1","2","female","1","0",26,"S","20-29"
"318","0","2","male","0","0",14,"S","50-59"
"319","1","1","female","0","2",164.8667,"S","30-39"
"320","1","1","female","1","1",134.5,"C","30-39"
"321","0","3","male","0","0",7.25,"S","20-29"
"322","0","3","male","0","0",7.8958,"S","20-29"
"323","1","2","female","0","0",12.35,"Q","20-29"
"324","1","2","female","1","1",29,"S","20-29"
"325","0","3","male","8","2",69.55,"S","20-29"
"326","1","1","female","0","0",135.6333,"C","30-39"
"327","0","3","male","0","0",6.2375,"S","60-69"
"328","1","2","female","0","0",13,"S","30-39"
"329","1","3","female","1","1",20.525,"S","30-39"
"330","1","1","female","0","1",57.9792,"C","10-19"
"331","1","3","female","2","0",23.25,"Q","20-29"
"332","0","1","male","0","0",28.5,"S","40-49"
"333","0","1","male","0","1",153.4625,"S","30-39"
"334","0","3","male","2","0",18,"S","10-19"
"335","1","1","female","1","0",133.65,"S","20-29"
"336","0","3","male","0","0",7.8958,"S","20-29"
"337","0","1","male","1","0",66.6,"S","20-29"
"338","1","1","female","0","0",134.5,"C","40-49"
"339","1","3","male","0","0",8.05,"S","40-49"
"340","0","1","male","0","0",35.5,"S","40-49"
"341","1","2","male","1","1",26,"S","0-9"
"342","1","1","female","3","2",263,"S","20-29"
"343","0","2","male","0","0",13,"S","20-29"
"344","0","2","male","0","0",13,"S","20-29"
"345","0","2","male","0","0",13,"S","30-39"
"346","1","2","female","0","0",13,"S","20-29"
"347","1","2","female","0","0",13,"S","30-39"
"348","1","3","female","1","0",16.1,"S","20-29"
"349","1","3","male","1","1",15.9,"S","0-9"
"350","0","3","male","0","0",8.6625,"S","40-49"
"351","0","3","male","0","0",9.225,"S","20-29"
"352","0","1","male","0","0",35,"S","20-29"
"353","0","3","male","1","1",7.2292,"C","10-19"
"354","0","3","male","1","0",17.8,"S","20-29"
"355","0","3","male","0","0",7.225,"C","20-29"
"356","0","3","male","0","0",9.5,"S","20-29"
"357","1","1","female","0","1",55,"S","20-29"
"358","0","2","female","0","0",13,"S","30-39"
"359","1","3","female","0","0",7.8792,"Q","20-29"
"360","1","3","female","0","0",7.8792,"Q","20-29"
"361","0","3","male","1","4",27.9,"S","30-39"
"362","0","2","male","1","0",27.7208,"C","20-29"
"363","0","3","female","0","1",14.4542,"C","40-49"
"364","0","3","male","0","0",7.05,"S","30-39"
"365","0","3","male","1","0",15.5,"Q","20-29"
"366","0","3","male","0","0",7.25,"S","20-29"
"367","1","1","female","1","0",75.25,"C","50-59"
"368","1","3","female","0","0",7.2292,"C","20-29"
"369","1","3","female","0","0",7.75,"Q","20-29"
"370","1","1","female","0","0",69.3,"C","20-29"
"371","1","1","male","1","0",55.4417,"C","20-29"
"372","0","3","male","1","0",6.4958,"S","10-19"
"373","0","3","male","0","0",8.05,"S","10-19"
"374","0","1","male","0","0",135.6333,"C","20-29"
"375","0","3","female","3","1",21.075,"S","0-9"
"376","1","1","female","1","0",82.1708,"C","20-29"
"377","1","3","female","0","0",7.25,"S","20-29"
"378","0","1","male","0","2",211.5,"C","20-29"
"379","0","3","male","0","0",4.0125,"C","10-19"
"380","0","3","male","0","0",7.775,"S","10-19"
"381","1","1","female","0","0",227.525,"C","40-49"
"382","1","3","female","0","2",15.7417,"C","0-9"
"383","0","3","male","0","0",7.925,"S","30-39"
"384","1","1","female","1","0",52,"S","30-39"
"385","0","3","male","0","0",7.8958,"S","20-29"
"386","0","2","male","0","0",73.5,"S","10-19"
"387","0","3","male","5","2",46.9,"S","0-9"
"388","1","2","female","0","0",13,"S","30-39"
"389","0","3","male","0","0",7.7292,"Q","20-29"
"390","1","2","female","0","0",12,"C","10-19"
"391","1","1","male","1","2",120,"S","30-39"
"392","1","3","male","0","0",7.7958,"S","20-29"
"393","0","3","male","2","0",7.925,"S","20-29"
"394","1","1","female","1","0",113.275,"C","20-29"
"395","1","3","female","0","2",16.7,"S","20-29"
"396","0","3","male","0","0",7.7958,"S","20-29"
"397","0","3","female","0","0",7.8542,"S","30-39"
"398","0","2","male","0","0",26,"S","40-49"
"399","0","2","male","0","0",10.5,"S","20-29"
"400","1","2","female","0","0",12.65,"S","20-29"
"401","1","3","male","0","0",7.925,"S","30-39"
"402","0","3","male","0","0",8.05,"S","20-29"
"403","0","3","female","1","0",9.825,"S","20-29"
"404","0","3","male","1","0",15.85,"S","20-29"
"405","0","3","female","0","0",8.6625,"S","10-19"
"406","0","2","male","1","0",21,"S","30-39"
"407","0","3","male","0","0",7.75,"S","50-59"
"408","1","2","male","1","1",18.75,"S","0-9"
"409","0","3","male","0","0",7.775,"S","20-29"
"410","0","3","female","3","1",25.4667,"S","20-29"
"411","0","3","male","0","0",7.8958,"S","20-29"
"412","0","3","male","0","0",6.8583,"Q","20-29"
"413","1","1","female","1","0",90,"Q","30-39"
"414","0","2","male","0","0",0,"S","20-29"
"415","1","3","male","0","0",7.925,"S","40-49"
"416","0","3","female","0","0",8.05,"S","20-29"
"417","1","2","female","1","1",32.5,"S","30-39"
"418","1","2","female","0","2",13,"S","10-19"
"419","0","2","male","0","0",13,"S","20-29"
"420","0","3","female","0","2",24.15,"S","0-9"
"421","0","3","male","0","0",7.8958,"C","20-29"
"422","0","3","male","0","0",7.7333,"Q","20-29"
"423","0","3","male","0","0",7.875,"S","20-29"
"424","0","3","female","1","1",14.4,"S","20-29"
"425","0","3","male","1","1",20.2125,"S","10-19"
"426","0","3","male","0","0",7.25,"S","20-29"
"427","1","2","female","1","0",26,"S","20-29"
"428","1","2","female","0","0",26,"S","10-19"
"429","0","3","male","0","0",7.75,"Q","20-29"
"430","1","3","male","0","0",8.05,"S","30-39"
"431","1","1","male","0","0",26.55,"S","20-29"
"432","1","3","female","1","0",16.1,"S","20-29"
"433","1","2","female","1","0",26,"S","40-49"
"434","0","3","male","0","0",7.125,"S","10-19"
"435","0","1","male","1","0",55.9,"S","40-49"
"436","1","1","female","1","2",120,"S","10-19"
"437","0","3","female","2","2",34.375,"S","20-29"
"438","1","2","female","2","3",18.75,"S","20-29"
"439","0","1","male","1","4",263,"S","60-69"
"440","0","2","male","0","0",10.5,"S","30-39"
"441","1","2","female","1","1",26.25,"S","40-49"
"442","0","3","male","0","0",9.5,"S","10-19"
"443","0","3","male","1","0",7.775,"S","20-29"
"444","1","2","female","0","0",13,"S","20-29"
"445","1","3","male","0","0",8.1125,"S","20-29"
"446","1","1","male","0","2",81.8583,"S","0-9"
"447","1","2","female","0","1",19.5,"S","10-19"
"448","1","1","male","0","0",26.55,"S","30-39"
"449","1","3","female","2","1",19.2583,"C","0-9"
"450","1","1","male","0","0",30.5,"S","50-59"
"451","0","2","male","1","2",27.75,"S","30-39"
"452","0","3","male","1","0",19.9667,"S","20-29"
"453","0","1","male","0","0",27.75,"C","20-29"
"454","1","1","male","1","0",89.1042,"C","40-49"
"455","0","3","male","0","0",8.05,"S","20-29"
"456","1","3","male","0","0",7.8958,"C","20-29"
"457","0","1","male","0","0",26.55,"S","60-69"
"458","1","1","female","1","0",51.8625,"S","20-29"
"459","1","2","female","0","0",10.5,"S","40-49"
"460","0","3","male","0","0",7.75,"Q","20-29"
"461","1","1","male","0","0",26.55,"S","40-49"
"462","0","3","male","0","0",8.05,"S","30-39"
"463","0","1","male","0","0",38.5,"S","40-49"
"464","0","2","male","0","0",13,"S","40-49"
"465","0","3","male","0","0",8.05,"S","20-29"
"466","0","3","male","0","0",7.05,"S","30-39"
"467","0","2","male","0","0",0,"S","20-29"
"468","0","1","male","0","0",26.55,"S","50-59"
"469","0","3","male","0","0",7.725,"Q","20-29"
"470","1","3","female","2","1",19.2583,"C","0-9"
"471","0","3","male","0","0",7.25,"S","20-29"
"472","0","3","male","0","0",8.6625,"S","30-39"
"473","1","2","female","1","2",27.75,"S","30-39"
"474","1","2","female","0","0",13.7917,"C","20-29"
"475","0","3","female","0","0",9.8375,"S","20-29"
"476","0","1","male","0","0",52,"S","20-29"
"477","0","2","male","1","0",21,"S","30-39"
"478","0","3","male","1","0",7.0458,"S","20-29"
"479","0","3","male","0","0",7.5208,"S","20-29"
"480","1","3","female","0","1",12.2875,"S","0-9"
"481","0","3","male","5","2",46.9,"S","0-9"
"482","0","2","male","0","0",0,"S","20-29"
"483","0","3","male","0","0",8.05,"S","40-49"
"484","1","3","female","0","0",9.5875,"S","60-69"
"485","1","1","male","1","0",91.0792,"C","20-29"
"486","0","3","female","3","1",25.4667,"S","20-29"
"487","1","1","female","1","0",90,"S","30-39"
"488","0","1","male","0","0",29.7,"C","50-59"
"489","0","3","male","0","0",8.05,"S","20-29"
"490","1","3","male","1","1",15.9,"S","0-9"
"491","0","3","male","1","0",19.9667,"S","20-29"
"492","0","3","male","0","0",7.25,"S","20-29"
"493","0","1","male","0","0",30.5,"S","50-59"
"494","0","1","male","0","0",49.5042,"C",">70"
"495","0","3","male","0","0",8.05,"S","20-29"
"496","0","3","male","0","0",14.4583,"C","20-29"
"497","1","1","female","1","0",78.2667,"C","50-59"
"498","0","3","male","0","0",15.1,"S","20-29"
"499","0","1","female","1","2",151.55,"S","20-29"
"500","0","3","male","0","0",7.7958,"S","20-29"
"501","0","3","male","0","0",8.6625,"S","10-19"
"502","0","3","female","0","0",7.75,"Q","20-29"
"503","0","3","female","0","0",7.6292,"Q","20-29"
"504","0","3","female","0","0",9.5875,"S","30-39"
"505","1","1","female","0","0",86.5,"S","10-19"
"506","0","1","male","1","0",108.9,"C","10-19"
"507","1","2","female","0","2",26,"S","30-39"
"508","1","1","male","0","0",26.55,"S","20-29"
"509","0","3","male","0","0",22.525,"S","20-29"
"510","1","3","male","0","0",56.4958,"S","20-29"
"511","1","3","male","0","0",7.75,"Q","20-29"
"512","0","3","male","0","0",8.05,"S","20-29"
"513","1","1","male","0","0",26.2875,"S","30-39"
"514","1","1","female","1","0",59.4,"C","50-59"
"515","0","3","male","0","0",7.4958,"S","20-29"
"516","0","1","male","0","0",34.0208,"S","40-49"
"517","1","2","female","0","0",10.5,"S","30-39"
"518","0","3","male","0","0",24.15,"Q","20-29"
"519","1","2","female","1","0",26,"S","30-39"
"520","0","3","male","0","0",7.8958,"S","30-39"
"521","1","1","female","0","0",93.5,"S","20-29"
"522","0","3","male","0","0",7.8958,"S","20-29"
"523","0","3","male","0","0",7.225,"C","20-29"
"524","1","1","female","0","1",57.9792,"C","40-49"
"525","0","3","male","0","0",7.2292,"C","20-29"
"526","0","3","male","0","0",7.75,"Q","40-49"
"527","1","2","female","0","0",10.5,"S","40-49"
"528","0","1","male","0","0",221.7792,"S","20-29"
"529","0","3","male","0","0",7.925,"S","30-39"
"530","0","2","male","2","1",11.5,"S","20-29"
"531","1","2","female","1","1",26,"S","0-9"
"532","0","3","male","0","0",7.2292,"C","20-29"
"533","0","3","male","1","1",7.2292,"C","10-19"
"534","1","3","female","0","2",22.3583,"C","20-29"
"535","0","3","female","0","0",8.6625,"S","20-29"
"536","1","2","female","0","2",26.25,"S","0-9"
"537","0","1","male","0","0",26.55,"S","40-49"
"538","1","1","female","0","0",106.425,"C","20-29"
"539","0","3","male","0","0",14.5,"S","20-29"
"540","1","1","female","0","2",49.5,"C","20-29"
"541","1","1","female","0","2",71,"S","30-39"
"542","0","3","female","4","2",31.275,"S","0-9"
"543","0","3","female","4","2",31.275,"S","10-19"
"544","1","2","male","1","0",26,"S","30-39"
"545","0","1","male","1","0",106.425,"C","40-49"
"546","0","1","male","0","0",26,"S","60-69"
"547","1","2","female","1","0",26,"S","10-19"
"548","1","2","male","0","0",13.8625,"C","20-29"
"549","0","3","male","1","1",20.525,"S","30-39"
"550","1","2","male","1","1",36.75,"S","0-9"
"551","1","1","male","0","2",110.8833,"C","10-19"
"552","0","2","male","0","0",26,"S","20-29"
"553","0","3","male","0","0",7.8292,"Q","20-29"
"554","1","3","male","0","0",7.225,"C","20-29"
"555","1","3","female","0","0",7.775,"S","20-29"
